"((2, 3), (1, 2))",[0. 0. 0. 0.]
"((5, 2), (4, 1))",[-337.28154191 -338.36850858 -335.70476445 -508.        ]
"((4, 2), (4, 1))",[-337.00870268 -335.76573187 -337.33230885 -507.5       ]
"((3, 2), (4, 1))",[-335.6529036  -335.56342389 -332.93690426 -762.        ]
"((2, 2), (4, 1))",[-336.6290458  -333.08115268 -332.84024985 -508.5       ]
"((2, 3), (4, 1))",[0. 0. 0. 0.]
"((5, 1), (3, 1))",[-324.95335391 -332.17622656 -325.68983736 -329.25655554]
"((4, 0), (3, 1))",[-325.74671113 -326.31537729 -326.82852804 -324.88807804]
"((3, 0), (3, 1))",[-318.90440862 -322.89219012 -320.76832847 -315.95029426]
"((2, 0), (3, 1))",[-318.00753309 -316.9272868  -316.67830725 -317.59006319]
"((1, 0), (3, 1))",[-319.79433224 -314.78193681 -315.81151529 -315.29277419]
"((0, 0), (3, 1))",[-312.18280565 -312.6654411  -312.18280565 -317.42461514]
"((5, 0), (3, 1))",[-325.4671884  -322.73245771 -322.73245771 -327.63790159]
"((4, 2), (3, 1))",[-325.03110067 -325.66500022 -324.95414902 -508.5       ]
"((3, 2), (3, 1))",[-320.43526709 -324.41581807 -319.03845695 -508.        ]
"((2, 2), (3, 1))",[-316.58142656 -318.63663516 -313.43599778 -762.75      ]
"((1, 2), (3, 1))",[-307.05538215 -313.13425419 -306.81332307 -309.29521365]
"((0, 2), (3, 1))",[-312.18280565 -307.98724351 -310.8826488  -309.18128368]
"((5, 2), (3, 1))",[-328.24670238 -322.73245771 -328.98588146 -509.        ]
"((4, 1), (2, 1))",[-313.08511845 -316.43344658 -321.28342816 -316.85141436]
"((3, 0), (2, 1))",[-313.96393474 -315.97179923 -315.81151529 -313.08512901]
"((2, 0), (2, 1))",[-307.87722709 -314.49483057 -303.7481955  -303.13126958]
"((1, 0), (2, 1))",[-303.47662047 -307.97406313 -301.20536858 -304.60673351]
"((0, 0), (2, 1))",[-304.88985036 -306.74235875 -304.70633733 -302.04423436]
"((4, 0), (2, 1))",[-315.59085589 -321.64758407 -319.62189162 -319.291931  ]
"((3, 2), (2, 1))",[-313.52455363 -320.58574913 -313.08502214 -509.        ]
"((2, 2), (2, 1))",[-307.62769025 -305.54054239 -310.22945452 -508.5       ]
"((1, 2), (2, 1))",[-302.96085435 -297.82186336 -297.16905911 -297.96350962]
"((0, 2), (2, 1))",[-301.26234998 -301.22418913 -303.87564074 -300.2008947 ]
"((4, 2), (2, 1))",[-320.4830021  -320.66083479 -318.35177785 -509.5       ]
"((2, 3), (1, 1))",[0. 0. 0. 0.]
"((3, 1), (4, 1))",[-336.08052321 -337.33230885 -341.20463879 -336.20806249]
"((2, 1), (4, 1))",[-339.48202779 -334.36082182 -337.88274219 -335.18383647]
"((1, 1), (4, 1))",[-337.7205281  -333.32681649 -336.59920127 -337.06168404]
